name	symbol	price	24h	7d	market_cap	volume(usd)	volume(coin)	circulating_supply	url
112	MonaCoin	MONA	$1.39	0.23%	5.43%	$91,300,038	$6,124,505	4,409,218 MONA	65,729,675 MONA	https://coinmarketcap.com/currencies/monacoin/historical-data/?start=20100101&end=20210101
113	IOST	IOST	$0.005949	1.42%	3.27%	$91,167,703	$29,857,580	5,018,676,187 IOST	15,324,121,695 IOST	https://coinmarketcap.com/currencies/iostoken/historical-data/?start=20100101&end=20210101
114	Helium	HNT	$1.44	0.28%	5.50%	$90,921,728	$1,595,635	1,108,978 HNT	63,191,265 HNT	https://coinmarketcap.com/currencies/helium/historical-data/?start=20100101&end=20210101
115	Kin	KIN	$0.000060	2.21%	36.34%	$90,846,589	$464,653	7,764,705,349 KIN	1,518,114,145,968 KIN	https://coinmarketcap.com/currencies/kin/historical-data/?start=20100101&end=20210101
116	Orchid	OXT	$0.246124	0.39%	15.52%	$90,471,192	$10,318,413	41,923,702 OXT	367,584,352 OXT	https://coinmarketcap.com/currencies/orchid/historical-data/?start=20100101&end=20210101
117	Bitcoin Diamond	BCD	$0.483622	1.09%	6.24%	$90,192,079	$3,499,899	7,236,848 BCD	186,492,898 BCD	https://coinmarketcap.com/currencies/bitcoin-diamond/historical-data/?start=20100101&end=20210101
118	Nervos Network	CKB	$0.004006	0.32%	1.93%	$87,803,982	$5,942,919	1,483,628,743 CKB	21,919,953,282 CKB	https://coinmarketcap.com/currencies/nervos-network/historical-data/?start=20100101&end=20210101
119	1inch	1INCH	$1.18	3.24%	0.00%	$85,223,309	$198,954,232	168,467,605 1INCH	72,164,169 1INCH	https://coinmarketcap.com/currencies/1inch/historical-data/?start=20100101&end=20210101
120	Bytom	BTM	$0.058078	5.02%	7.48%	$81,154,856	$12,232,890	210,627,686 BTM	1,397,336,107 BTM	https://coinmarketcap.com/currencies/bytom/historical-data/?start=20100101&end=20210101
121	Curve DAO Token	CRV	$0.510723	9.40%	8.19%	$79,314,253	$35,226,048	68,972,891 CRV	155,297,961 CRV	https://coinmarketcap.com/currencies/curve-dao-token/historical-data/?start=20100101&end=20210101
122	Arweave	AR	$2.29	1.01%	7.19%	$76,580,223	$1,780,252	776,323 AR	33,394,701 AR	https://coinmarketcap.com/currencies/arweave/historical-data/?start=20100101&end=20210101
123	Golem	GNT	$0.113930	5.21%	2.79%	$74,716,313	$8,344,008	73,237,874 GNT	655,807,637 GNT	https://coinmarketcap.com/currencies/golem-network-tokens/historical-data/?start=20100101&end=20210101
124	Syntropy	NOIA	$0.232682	3.33%	30.53%	$74,783,059	$895,075	3,846,771 NOIA	321,395,830 NOIA	https://coinmarketcap.com/currencies/syntropy/historical-data/?start=20100101&end=20210101
125	Unibright	UBT	$0.494176	5.65%	15.72%	$73,533,454	$1,281,974	2,594,162 UBT	148,799,999 UBT	https://coinmarketcap.com/currencies/unibright/historical-data/?start=20100101&end=20210101
126	Injective Protocol	INJ	$4.89	5.19%	74.99%	$72,870,269	$33,128,630	6,776,621 INJ	14,905,965 INJ	https://coinmarketcap.com/currencies/injective-protocol/historical-data/?start=20100101&end=20210101
127	PAX Gold	PAXG	$1,903.54	1.34%	1.17%	$71,945,112	$4,863,780	2,555 PAXG	37,795 PAXG	https://coinmarketcap.com/currencies/pax-gold/historical-data/?start=20100101&end=20210101
128	Hyperion	HYN	$0.160115	13.43%	5.46%	$69,102,559	$91,024	568,491 HYN	431,580,000 HYN	https://coinmarketcap.com/currencies/hyperion/historical-data/?start=20100101&end=20210101
129	Kleros	PNK	$0.118658	7.88%	20.72%	$69,068,358	$1,962,915	16,542,698 PNK	582,081,645 PNK	https://coinmarketcap.com/currencies/kleros/historical-data/?start=20100101&end=20210101
130	Ardor	ARDR	$0.068229	0.25%	1.36%	$68,161,159	$5,418,449	79,415,131 ARDR	998,999,495 ARDR	https://coinmarketcap.com/currencies/ardor/historical-data/?start=20100101&end=20210101
